City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
104,Ponta Do Sol,PT,32.6667,-17.1,52.0,77,21,1.99,few clouds
105,Saint George,US,37.1041,-113.5841,34.0,55,1,4.27,clear sky
106,Kijabe,KE,-0.933,36.5758,69.71,53,20,4.09,light rain
107,Sabang,ID,5.8933,95.3214,81.79,79,78,19.51,broken clouds
108,San Rafael,AR,-34.6177,-68.3301,66.81,63,2,6.58,light rain
109,Grindavik,IS,63.8424,-22.4338,19.4,68,0,8.05,clear sky
110,Bandarbeyla,SO,9.4942,50.8122,76.05,62,46,26.91,scattered clouds
111,Caravelas,BR,-17.7125,-39.2481,76.93,83,20,6.15,few clouds
112,Upernavik,GL,72.7868,-56.1549,13.5,83,100,8.34,overcast clouds
113,San-Pedro,CI,4.7485,-6.6363,79.68,85,45,5.12,scattered clouds
114,Black River,JM,18.0264,-77.8487,75.99,94,20,1.14,few clouds
115,Puerto Escondido,MX,15.85,-97.0667,73.22,81,42,4.36,light rain
116,Chokurdakh,RU,70.6333,147.9167,-26.73,86,100,5.53,overcast clouds
117,Laguna,US,38.421,-121.4238,42.01,87,1,5.75,mist
118,Nanortalik,GL,60.1432,-45.2371,32.22,93,100,7.74,light snow
119,Lamu,KE,-2.2717,40.902,89.6,55,1,12.66,clear sky
120,Tres Arroyos,AR,-38.3739,-60.2798,67.24,55,8,16.78,clear sky
121,Tiksi,RU,71.6872,128.8694,-21.24,87,96,7.43,overcast clouds
122,Tommot,RU,58.9564,126.2925,-17.63,85,100,2.39,overcast clouds
123,Belmonte,BR,-15.8631,-38.8828,75.2,88,20,3.44,few clouds
124,Muros,ES,42.7762,-9.0603,46.0,69,48,3.0,scattered clouds
125,Lircay,PE,-12.9896,-74.7205,47.8,72,100,2.46,light rain
126,Tabalosos,PE,-6.35,-76.6833,62.35,97,74,2.71,broken clouds
127,Husavik,IS,66.0449,-17.3389,15.8,67,40,9.22,light snow
128,San Quintin,MX,30.4833,-115.95,54.57,80,0,0.74,clear sky
129,Sayat,TM,38.7839,63.8803,46.4,36,0,11.5,clear sky
130,Mar Del Plata,AR,-38.0023,-57.5575,64.0,88,0,5.75,clear sky
131,Cabo San Lucas,MX,22.8909,-109.9124,64.56,57,0,8.28,clear sky
132,Tasiilaq,GL,65.6145,-37.6368,17.6,53,90,2.3,overcast clouds
133,Zemetchino,RU,53.4973,42.6163,27.59,98,97,8.72,overcast clouds
134,Bredasdorp,ZA,-34.5322,20.0403,66.2,59,95,6.91,overcast clouds
135,Zhoucheng,CN,35.9122,116.3117,29.88,68,69,5.64,broken clouds
136,Bulgan,MN,48.8125,103.5347,-2.56,83,0,4.27,clear sky
137,Sindor,RU,62.8629,51.8905,1.4,92,1,7.47,clear sky
138,Esperance,AU,-33.8667,121.9,71.6,64,75,23.02,broken clouds
139,Katherine,AU,-14.4667,132.2667,86.0,62,40,6.91,light rain
140,Busembatia,UG,0.7697,33.6131,74.75,67,100,3.8,light rain
141,Rumuruti,KE,0.267,36.5389,73.67,37,83,11.7,broken clouds
142,Ust-Omchug,RU,61.15,149.6333,-19.71,83,100,4.43,overcast clouds
143,Grand-Lahou,CI,5.1367,-5.0242,80.74,82,74,8.21,broken clouds
144,Bontang,ID,0.1333,117.5,83.97,74,98,8.9,overcast clouds
145,Seoul,KR,37.5683,126.9778,24.8,42,75,3.44,broken clouds
146,Hithadhoo,MV,-0.6,73.0833,81.64,71,48,10.42,scattered clouds
147,Roma,US,43.2128,-75.4557,17.6,86,1,4.59,clear sky
148,Pacific Grove,US,36.6177,-121.9166,48.0,76,1,5.75,clear sky
149,Taseyevo,RU,57.2169,94.8978,3.24,93,100,3.11,overcast clouds
150,Saint-Philippe,RE,-21.3585,55.7679,86.0,70,0,16.11,clear sky
151,Hirado,JP,33.3597,129.5531,41.0,60,75,10.36,broken clouds
152,Prince Rupert,CA,54.3161,-130.3201,42.8,87,90,16.11,moderate rain
153,Saint-Joseph,RE,-21.3667,55.6167,86.0,70,0,16.11,clear sky
154,Emba,KZ,48.8264,58.1442,26.56,93,100,12.84,overcast clouds
155,Kaeo,NZ,-35.1,173.7833,63.0,94,93,4.12,overcast clouds
156,Mitu,CO,1.1983,-70.1733,68.68,98,95,0.6,overcast clouds
157,New Norfolk,AU,-42.7826,147.0587,64.99,60,99,3.53,overcast clouds
158,Mangai,CD,-4.05,19.5333,85.03,67,40,0.22,moderate rain
159,Faanui,PF,-16.4833,-151.75,81.12,70,100,14.2,overcast clouds
160,Roswell,US,34.0232,-84.3616,28.99,86,1,3.31,clear sky
161,Turukhansk,RU,65.8167,87.9833,-15.36,85,83,6.69,broken clouds
162,Bhimunipatnam,IN,17.8833,83.4333,87.8,30,40,9.22,haze
163,Pisco,PE,-13.7,-76.2167,68.0,83,0,3.44,clear sky
164,Ishigaki,JP,24.3448,124.1572,59.0,67,75,13.8,broken clouds
165,Iqaluit,CA,63.7506,-68.5145,10.4,85,75,3.44,light snow
166,Mezofalva,HU,46.9318,18.7718,30.0,81,100,4.0,overcast clouds
167,Bubaque,GW,11.2833,-15.8333,75.7,55,0,21.41,clear sky
168,Souillac,MU,-20.5167,57.5167,84.2,79,40,13.8,light rain
169,Bengkulu,ID,-3.8004,102.2655,84.99,68,60,8.25,light rain
170,Imamoglu,TR,37.2651,35.6572,68.0,28,0,10.36,clear sky
171,Linxia,CN,35.6003,103.2064,19.27,72,83,4.97,broken clouds
172,Moron,AR,-34.6534,-58.6198,73.0,75,0,3.0,clear sky
173,Gigmoto,PH,13.7796,124.39,75.11,86,100,21.21,overcast clouds
174,Kavaratti,IN,10.5669,72.642,83.01,74,89,10.16,light rain
175,Lake Havasu City,US,34.4839,-114.3224,51.8,30,1,9.22,clear sky
176,Igarka,RU,67.4667,86.5833,-18.85,82,4,8.61,clear sky
177,Eston,CA,51.1501,-108.7514,8.6,85,90,6.91,mist
178,Udachnyy,RU,66.4167,112.4,-29.49,82,100,6.4,overcast clouds
179,Yulara,AU,-25.2406,130.9889,98.6,9,0,10.36,clear sky
180,Bisho,ZA,-32.8472,27.4422,71.6,73,20,9.22,few clouds
181,Guerrero Negro,MX,27.9769,-114.0611,53.65,79,0,1.05,clear sky
182,Nome,US,64.5011,-165.4064,1.4,71,20,9.22,few clouds
183,Cherskiy,RU,68.75,161.3,-27.78,85,99,4.18,overcast clouds
184,San Cristobal,VE,7.7669,-72.225,65.43,88,99,2.46,overcast clouds
185,Terme,TR,41.2092,36.9739,57.2,77,75,3.44,broken clouds
186,Tinskoy,RU,56.1525,96.9161,11.34,95,100,7.65,light snow
187,Cururupu,BR,-1.8283,-44.8683,74.52,94,98,3.09,overcast clouds
188,Les Cayes,HT,18.2,-73.75,73.38,82,100,3.83,overcast clouds
189,Bang Mun Nak,TH,16.0278,100.3792,87.01,38,0,9.69,clear sky
190,Hit,IQ,33.6416,42.8251,59.97,30,0,3.42,clear sky
191,Cruz Alta,BR,-28.6386,-53.6064,66.04,96,10,3.83,clear sky
192,Nijmegen,NL,51.8333,5.85,34.0,94,74,5.77,broken clouds
193,Broome,US,42.2506,-75.833,19.99,86,1,8.05,clear sky
194,Fairbanks,US,64.8378,-147.7164,10.4,85,75,4.61,broken clouds
195,Chipinge,ZW,-20.1883,32.6236,76.8,75,78,2.44,light rain
196,Sungairaya,ID,0.7,108.9,82.13,81,100,4.03,overcast clouds
197,Luoyang,CN,34.6836,112.4536,37.99,99,100,11.41,overcast clouds
198,Ostrovnoy,RU,68.0531,39.5131,6.4,92,38,13.27,scattered clouds
199,Mineiros,BR,-17.5694,-52.5511,69.93,67,99,1.03,overcast clouds
200,Mizdah,LY,31.4451,12.9801,75.09,20,0,25.97,clear sky
201,Adrar,MR,20.5022,-10.0711,56.77,48,6,20.98,clear sky
202,Ambilobe,MG,-13.2,49.05,84.6,73,3,6.13,moderate rain
203,San Nicolas,PH,18.1725,120.5953,84.2,45,20,8.05,few clouds
204,Bethel,US,41.3712,-73.414,26.6,63,1,8.05,clear sky
205,Quatre Cocos,MU,-20.2078,57.7625,84.2,79,40,13.8,light rain
206,Khatanga,RU,71.9667,102.5,-29.04,85,83,9.71,broken clouds
207,Belyy Yar,RU,53.6039,91.3903,17.6,49,100,4.47,overcast clouds
208,Lower Hutt,NZ,-41.2167,174.9167,63.0,82,75,19.57,broken clouds
209,Turan,VN,16.0678,108.2208,68.0,68,75,8.05,light rain
210,Christchurch,NZ,-43.5333,172.6333,62.01,88,12,3.44,few clouds
211,Ostersund,SE,63.1792,14.6357,21.2,93,90,3.44,light snow
212,Tamasane,BW,-22.4184,27.4013,80.6,65,40,5.75,scattered clouds
213,Mabaruma,GY,8.2,-59.7833,72.37,98,100,3.33,light rain
214,Marrakesh,MA,31.6315,-8.0083,44.6,93,75,13.8,light rain
215,Sitka,US,57.0531,-135.33,44.6,65,90,21.85,moderate rain
216,Codrington,AU,-38.2667,141.9667,70.32,65,88,6.71,overcast clouds
217,Riyadh,SA,24.6877,46.7219,62.6,55,0,11.5,mist
218,Adra,ES,36.7496,-3.0206,46.0,81,20,9.22,few clouds
219,Salinopolis,BR,-0.6136,-47.3561,78.94,84,94,9.48,light rain
220,Faya,SA,18.3851,42.4509,62.6,59,40,10.36,light rain
221,Mount Gambier,AU,-37.8333,140.7667,86.0,23,100,11.5,overcast clouds
222,Shadrinsk,RU,56.0852,63.6335,-2.61,91,100,8.61,overcast clouds
223,Aleksandrov Gay,RU,50.147,48.5704,29.35,96,54,16.37,broken clouds
224,Mouila,GA,-1.8685,11.0559,81.57,78,65,2.33,broken clouds
225,Pundaguitan,PH,6.3711,126.1689,83.14,78,9,12.48,clear sky
226,Gouyave,GD,12.1646,-61.7296,78.8,83,20,23.02,few clouds
227,Vaitape,PF,-16.5167,-151.75,81.12,71,99,14.23,light rain
228,Chabahar,IR,25.2919,60.643,67.28,22,0,1.7,clear sky
229,Santiago Del Estero,AR,-27.7951,-64.2615,72.0,91,21,1.99,few clouds
230,Angoche,MZ,-16.2325,39.9086,90.07,56,4,9.46,clear sky
231,Hualmay,PE,-11.0964,-77.6139,69.48,87,93,9.22,overcast clouds
232,San Carlos De Bariloche,AR,-41.1456,-71.3082,50.0,66,40,32.21,light rain
233,Chuy,UY,-33.6971,-53.4616,66.25,94,6,3.31,clear sky
234,Buala,SB,-8.145,159.5921,82.69,77,46,6.15,scattered clouds
235,Hammerfest,NO,70.6634,23.6821,19.4,73,20,18.41,few clouds
236,Broken Hill,AU,-31.95,141.4333,91.4,14,0,14.97,clear sky
237,Kahului,US,20.8947,-156.47,70.0,83,1,3.44,clear sky
238,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.99,90,1,13.2,clear sky
239,Talcahuano,CL,-36.7167,-73.1167,53.6,94,0,3.44,clear sky
240,Santiago,CL,-33.4569,-70.6483,61.0,71,0,4.61,clear sky
241,Ahipara,NZ,-35.1667,173.1667,63.79,82,33,7.31,scattered clouds
242,Sinjai,ID,-5.1241,120.253,84.63,75,92,7.43,light rain
243,Padang,ID,-0.9492,100.3543,86.0,70,40,5.75,light rain
244,Labuhan,ID,-6.8844,112.2051,81.63,85,97,13.76,light rain
245,Ribeira Grande,PT,38.5167,-28.7,59.0,94,75,16.11,moderate rain
246,Avarua,CK,-21.2078,-159.775,78.8,78,75,5.75,light rain
247,Rudnaya Pristan,RU,44.3614,135.8116,3.07,80,40,7.81,scattered clouds
248,Torbay,CA,47.6666,-52.7314,33.01,100,90,9.22,overcast clouds
249,Klaksvik,FO,62.2266,-6.589,30.2,86,75,18.41,light intensity drizzle
250,Lompoc,US,34.6391,-120.4579,51.8,87,1,3.44,clear sky
251,Komsomolskiy,UZ,40.4272,71.7189,37.4,32,0,2.3,clear sky
252,Kruisfontein,ZA,-34.0033,24.7314,66.0,90,100,5.99,light rain
253,The Valley,AI,18.217,-63.0578,77.0,83,20,8.05,few clouds
254,Inhambane,MZ,-23.865,35.3833,87.8,62,75,2.3,broken clouds
255,Mount Isa,AU,-20.7333,139.5,89.6,37,96,10.36,overcast clouds
256,Chokwe,MZ,-24.5333,32.9833,94.17,42,0,1.32,clear sky
257,Wanaka,NZ,-44.7,169.15,54.61,69,33,6.87,scattered clouds
258,Cap Malheureux,MU,-19.9842,57.6142,84.2,79,40,13.8,moderate rain
259,Taoudenni,ML,22.6783,-3.9836,64.47,34,0,16.15,clear sky
260,Camacha,PT,33.0833,-16.3333,55.4,76,40,28.77,light rain
261,Werda,BW,-25.2667,23.2833,86.34,37,54,4.99,broken clouds
262,Thunder Bay,CA,48.4001,-89.3168,14.0,100,1,4.61,clear sky
263,East London,ZA,-33.0153,27.9116,71.6,73,20,9.22,few clouds
264,Ushtobe,KZ,45.2514,77.9838,19.13,88,92,4.61,overcast clouds
265,Saldanha,ZA,-33.0117,17.9442,75.2,46,0,13.8,clear sky
266,Sarankhola,BD,22.3082,89.7897,89.83,27,25,7.05,scattered clouds
267,Venice,US,27.0998,-82.4543,46.0,87,20,6.91,few clouds
268,Byron Bay,AU,-28.65,153.6167,75.99,68,75,12.66,broken clouds
269,Airai,TL,-8.9266,125.4092,67.14,100,100,0.67,moderate rain
270,Harper,LR,4.375,-7.7169,80.76,82,98,7.54,light rain
271,Yumen,CN,40.2833,97.2,19.18,67,0,36.98,clear sky
272,Vila Velha,BR,-20.3297,-40.2925,77.0,88,40,3.44,scattered clouds
273,Calabar,NG,4.9517,8.322,85.5,68,35,2.15,scattered clouds
274,Luderitz,NA,-26.6481,15.1594,77.81,35,19,17.78,few clouds
275,Santa Catarina De Tepehuanes,MX,25.35,-105.7333,39.13,74,0,5.41,clear sky
276,Chatellerault,FR,46.8,0.5333,32.0,80,0,14.97,clear sky
277,Savannakhet,LA,16.566,104.751,75.2,43,20,4.61,few clouds
278,Vestmannaeyjar,IS,63.4427,-20.2734,25.77,92,37,13.38,scattered clouds
279,Ust-Nera,RU,64.5667,143.2,-35.64,72,70,2.8,broken clouds
280,Bereda,ES,43.2686,-7.5406,39.0,87,100,20.0,overcast clouds
281,Shingu,JP,33.7333,135.9833,39.2,52,75,13.8,broken clouds
282,Olafsvik,IS,64.8945,-23.7142,23.77,87,55,6.85,broken clouds
283,Lagoa,PT,39.05,-27.9833,57.88,86,100,20.36,overcast clouds
284,Moree,AU,-29.4667,149.85,84.2,30,16,10.36,few clouds
285,Staraya Mayna,RU,54.6,48.95,23.0,93,90,6.71,snow
286,Hobyo,SO,5.3505,48.5268,80.02,60,15,25.39,few clouds
287,Suez,EG,29.9737,32.5263,68.29,50,0,10.29,clear sky
288,Narsaq,GL,60.9167,-46.05,42.8,36,75,27.63,broken clouds
289,Sao Filipe,CV,14.8961,-24.4956,71.13,70,89,19.06,overcast clouds
290,Port Hardy,CA,50.6996,-127.4199,44.6,87,90,25.32,moderate rain
291,Mugumu,TZ,-1.85,34.7,69.98,79,49,5.3,moderate rain
292,Dunedin,NZ,-45.8742,170.5036,59.0,74,71,4.0,broken clouds
293,Makurdi,NG,7.7411,8.5121,88.21,45,16,3.94,few clouds
294,Sayyan,YE,15.1718,44.3244,60.53,32,0,5.03,clear sky
295,Ancud,CL,-41.8697,-73.8203,50.0,81,20,10.36,few clouds
296,San Juan,AR,-31.5375,-68.5364,76.71,53,0,10.38,clear sky
297,Sembe,CG,1.6481,14.5806,85.01,57,62,3.74,light rain
298,Cartagena Del Chaira,CO,1.3349,-74.8429,69.4,97,79,1.59,broken clouds
299,Ixtapa,MX,20.7,-105.2,64.09,85,8,2.28,clear sky
300,Manggar,ID,-2.8833,108.2667,83.84,75,100,9.17,moderate rain
301,Karasjok,NO,69.4719,25.5112,17.6,73,100,24.16,overcast clouds
302,Sakakah,SA,29.9697,40.2064,55.4,54,75,5.75,broken clouds
303,Shimoda,JP,34.6667,138.95,28.99,64,0,16.84,clear sky
304,Aldan,RU,58.6031,125.3894,-17.79,88,100,6.64,overcast clouds
305,Telford,GB,52.6766,-2.4493,33.8,93,90,8.05,overcast clouds
306,Boende,CD,-0.2167,20.8667,87.57,56,1,3.22,clear sky
307,Aden,YE,12.7794,45.0367,76.68,67,21,19.84,few clouds
308,Carnarvon,AU,-24.8667,113.6333,84.2,74,1,26.46,clear sky
309,Belaya Gora,RU,68.5333,146.4167,-30.53,85,65,2.57,broken clouds
310,Korla,CN,41.7597,86.1469,24.01,77,0,10.07,clear sky
311,Zanjan,IR,36.6736,48.4787,41.0,45,0,4.61,clear sky
312,Dabat,ET,12.9842,37.765,66.07,34,0,8.43,clear sky
313,Tautira,PF,-17.7333,-149.15,78.8,69,20,3.44,moderate rain
314,Cam Ranh,VN,11.9214,109.1591,80.6,61,20,16.11,few clouds
315,Victoria,HK,22.2855,114.1577,57.0,22,100,10.0,overcast clouds
316,Mogadishu,SO,2.0371,45.3438,82.06,59,0,24.47,clear sky
317,Kang,BW,-23.6752,22.7876,87.57,38,58,10.76,broken clouds
318,Saint-Louis,SN,16.3333,-15.0,64.4,55,0,4.61,clear sky
319,Wilkie,CA,52.4168,-108.7014,12.2,92,90,6.91,light snow
320,Muroto,JP,33.2833,134.15,41.0,38,20,8.05,few clouds
321,Kenora,CA,49.8167,-94.4337,17.6,93,90,5.75,fog
322,Masallatah,LY,32.6167,14.0,77.85,23,0,29.73,clear sky
323,Tabory,RU,58.5198,64.5495,-8.66,90,85,3.78,overcast clouds
324,Sola,VU,-13.8833,167.55,84.0,77,88,4.47,overcast clouds
325,Geraldton,AU,-28.7667,114.6,77.0,61,40,25.32,scattered clouds
326,Qinhuangdao,CN,39.9317,119.5883,23.45,68,1,4.05,clear sky
327,Teknaf,BD,20.8624,92.3058,81.21,50,62,12.82,broken clouds
328,Clovis,US,36.8252,-119.7029,44.01,87,1,3.44,mist
329,Frutal,BR,-20.0247,-48.9406,73.38,82,100,2.75,overcast clouds
330,Acarau,BR,-2.8856,-40.12,77.99,82,91,9.08,overcast clouds
331,Segou,ML,13.4317,-6.2157,83.55,14,0,7.45,clear sky
332,Vysotsk,RU,60.6288,28.5705,12.99,84,70,6.76,broken clouds
333,Rocky Mountain House,CA,52.3668,-114.9188,3.2,92,7,2.3,clear sky
334,Bairiki,KI,1.3292,172.9752,80.6,83,75,12.66,broken clouds
335,Lethem,GY,3.3803,-59.7968,73.4,89,23,8.61,few clouds
336,Asfi,MA,32.2994,-9.2372,55.63,63,100,15.23,light rain
337,Gongzhuling,CN,43.5008,124.8198,2.39,91,0,6.89,clear sky
338,Libertador General San Martin,AR,-23.8064,-64.7876,72.0,98,85,2.08,overcast clouds
339,Livingston,GB,55.9029,-3.5226,39.2,93,90,4.61,overcast clouds
340,Garissa,KE,-0.4536,39.6401,85.33,46,79,8.48,broken clouds
341,Constitucion,CL,-35.3333,-72.4167,50.04,78,0,4.65,clear sky
342,Graaff-Reinet,ZA,-32.2522,24.5308,73.0,58,0,5.01,clear sky
343,Russell,US,32.3502,-85.1999,32.0,80,75,4.61,broken clouds
344,Cleethorpes,GB,53.5605,-0.0323,36.0,93,75,6.91,broken clouds
345,Centralia,US,46.7162,-122.9543,39.99,100,100,1.01,moderate rain
346,Coquimbo,CL,-29.9533,-71.3436,53.6,87,0,3.44,clear sky
347,Mopipi,BW,-21.1833,24.8833,87.53,39,4,10.42,clear sky
348,Cairns,AU,-16.9167,145.7667,81.0,83,40,1.14,scattered clouds
349,Xichang,CN,27.8964,102.2634,50.0,34,98,3.6,overcast clouds
