City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
159,Quatre Cocos,MU,2021-01-08 08:52:41,-20.2078,57.7625,84.0,69,75,14.97
160,Hithadhoo,MV,2021-01-08 08:52:41,-0.6,73.0833,83.53,78,94,18.32
161,Labuhan,ID,2021-01-08 08:52:41,-6.8844,112.2051,80.85,82,100,5.23
162,Pilot Butte,CA,2021-01-08 08:52:42,50.4668,-104.4178,10.4,78,65,6.91
163,Batagay-Alyta,RU,2021-01-08 08:52:42,67.8006,130.4114,-11.22,89,100,2.93
164,Saint George,US,2021-01-08 08:52:42,37.1041,-113.5841,37.4,41,1,3.36
165,Sehithwa,BW,2021-01-08 08:52:42,-20.4667,22.7167,81.27,65,99,10.65
166,Maymyo,MM,2021-01-08 08:52:43,22.0333,96.4667,89.6,37,37,5.75
167,Lorengau,PG,2021-01-08 08:52:43,-2.0226,147.2712,80.31,85,100,7.43
168,Biak,ID,2021-01-08 08:52:43,-0.9131,122.8766,81.82,75,76,1.83
169,Solnechnyy,RU,2021-01-08 08:52:43,50.7214,136.6319,-17.23,84,56,4.29
170,Portland,US,2021-01-08 08:47:45,45.5234,-122.6762,50.0,62,90,21.85
171,Torbay,CA,2021-01-08 08:52:44,47.6666,-52.7314,41.0,100,90,11.5
172,Arak,IR,2021-01-08 08:51:38,34.0917,49.6892,40.71,50,0,2.57
173,Bambous Virieux,MU,2021-01-08 08:52:44,-20.3428,57.7575,84.0,69,75,14.97
174,Bluff,NZ,2021-01-08 08:52:44,-46.6,168.3333,55.0,80,79,11.01
175,Apricena,IT,2021-01-08 08:52:44,41.7839,15.4437,42.8,100,75,10.36
176,Binzhou,CN,2021-01-08 08:52:45,37.3667,118.0167,18.63,62,0,6.71
177,Edd,ER,2021-01-08 08:52:45,13.9297,41.6925,85.55,40,0,14.65
178,Victoria,HK,2021-01-08 08:52:42,22.2855,114.1577,48.99,38,100,1.01
179,Okhotsk,RU,2021-01-08 08:52:46,59.3833,143.3,-18.02,83,90,11.18
180,Kendari,ID,2021-01-08 08:52:46,-3.945,122.4989,81.97,85,88,1.9
181,Codrington,AU,2021-01-08 08:52:46,-38.2667,141.9667,62.4,79,0,15.41
182,Moerai,PF,2021-01-08 08:52:46,-22.4333,-151.3333,78.76,77,1,15.37
183,North Bend,US,2021-01-08 08:52:47,43.4065,-124.2243,46.99,93,90,6.91
184,Henties Bay,NA,2021-01-08 08:52:47,-22.116,14.2845,69.01,89,67,5.26
185,Turukhansk,RU,2021-01-08 08:52:47,65.8167,87.9833,-18.53,84,15,13.29
186,Thompson,CA,2021-01-08 08:52:47,55.7435,-97.8558,14.0,92,1,4.61
187,Moose Factory,CA,2021-01-08 08:52:48,51.2585,-80.6094,-0.4,84,1,3.44
188,Moengo,SR,2021-01-08 08:52:48,5.6167,-54.4,72.39,97,59,1.23
189,Bredasdorp,ZA,2021-01-08 08:52:48,-34.5322,20.0403,73.4,53,48,8.05
190,San Jose,US,2021-01-08 08:50:35,37.3394,-121.895,48.2,87,75,3.24
191,Sabzevar,IR,2021-01-08 08:52:18,36.2126,57.6819,41.0,33,0,9.22
192,Ponta Delgada,PT,2021-01-08 08:52:49,37.7333,-25.6667,53.6,62,20,5.75
193,Bocaiuva,BR,2021-01-08 08:52:49,-17.1078,-43.815,70.54,87,100,2.53
194,Fallon,US,2021-01-08 08:52:49,39.4735,-118.7774,19.4,79,1,4.61
195,Olafsvik,IS,2021-01-08 08:52:50,64.8945,-23.7142,40.93,94,100,21.7
196,Caravelas,BR,2021-01-08 08:52:50,-17.7125,-39.2481,73.44,91,10,6.17
197,Sao Miguel Do Araguaia,BR,2021-01-08 08:52:50,-13.275,-50.1628,72.55,92,100,4.32
198,Vila Velha,BR,2021-01-08 08:52:50,-20.3297,-40.2925,77.0,78,20,10.36
199,Provideniya,RU,2021-01-08 08:52:51,64.3833,-173.3,-8.27,82,0,4.03
200,Tiksi,RU,2021-01-08 08:52:51,71.6872,128.8694,-15.3,88,100,14.94
201,Camaguey,CU,2021-01-08 08:52:51,21.3808,-77.9169,66.2,94,1,3.44
202,Jimma,ET,2021-01-08 08:52:51,7.6667,36.8333,81.66,37,24,2.44
203,Saint-Esteve,FR,2021-01-08 08:52:51,42.7131,2.843,37.4,56,0,8.05
204,San Lorenzo,PY,2021-01-08 08:52:52,-25.3333,-57.5333,75.2,94,0,2.3
205,Pangoa,PE,2021-01-08 08:52:52,-12.1167,-73.0,63.36,94,19,2.91
206,Alice Springs,AU,2021-01-08 08:52:52,-23.7,133.8833,89.6,13,0,13.8
207,Road Town,VG,2021-01-08 08:52:52,18.4167,-64.6167,75.2,78,75,5.75
