City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
254,Inhambane,MZ,87.8,broken clouds,-23.865,35.3833,Oceano
255,Mount Isa,AU,89.6,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
258,Cap Malheureux,MU,84.2,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
263,East London,ZA,71.6,few clouds,-33.0153,27.9116,Tu Casa
265,Saldanha,ZA,75.2,clear sky,-33.0117,17.9442,Blue Bay Lodge
266,Sarankhola,BD,89.83,scattered clouds,22.3082,89.7897,Md Mostafiz Mir Al Imran's House
268,Byron Bay,AU,75.99,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
269,Airai,TL,67.14,moderate rain,-8.9266,125.4092,Juvinal Martin
270,Harper,LR,80.76,light rain,4.375,-7.7169,Screensaver
272,Vila Velha,BR,77.0,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
273,Calabar,NG,85.5,scattered clouds,4.9517,8.322000000000001,NAKS Hotels (Formerly NAF Club)
277,Savannakhet,LA,75.2,few clouds,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์
284,Moree,AU,84.2,few clouds,-29.4667,149.85,Molika Springs Motel
286,Hobyo,SO,80.02,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
287,Suez,EG,68.29,clear sky,29.9737,32.5263,Green House
289,Sao Filipe,CV,71.13,overcast clouds,14.8961,-24.4956,Tortuga B&B
291,Mugumu,TZ,69.98,moderate rain,-1.85,34.7,Lemala Mara
293,Makurdi,NG,88.21,few clouds,7.7411,8.5121,Doo Palace Hotel
294,Sayyan,YE,60.53,clear sky,15.1718,44.3244,متنزه و بحيرة سيان
296,San Juan,AR,76.71,clear sky,-31.5375,-68.5364,Hotel Provincial
298,Cartagena Del Chaira,CO,69.4,broken clouds,1.3349,-74.8429,HOTEL LA ROCA
299,Ixtapa,MX,64.09,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
300,Manggar,ID,83.84,moderate rain,-2.8833,108.2667,Guest Hotel
307,Aden,YE,76.68,few clouds,12.7794,45.0367,Sama Emirate Hotel
308,Carnarvon,AU,84.2,clear sky,-24.8667,113.6333,Hospitality Carnarvon
312,Dabat,ET,66.07,clear sky,12.9842,37.765,Haymanot hotel
313,Tautira,PF,78.8,moderate rain,-17.7333,-149.15,Pension Oaoa
314,Cam Ranh,VN,80.6,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
316,Mogadishu,SO,82.06,clear sky,2.0371,45.3438,Hotel Juba
317,Kang,BW,87.57,broken clouds,-23.6752,22.7876,Kang Ultra Stop
322,Masallatah,LY,77.85,clear sky,32.6167,14.0,Mustafa Taher Sowaidan
324,Sola,VU,84.0,overcast clouds,-13.8833,167.55,Leumerus Bungalows
325,Geraldton,AU,77.0,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
327,Teknaf,BD,81.21,broken clouds,20.8624,92.3058,Forestry Guesthouse
329,Frutal,BR,73.38,overcast clouds,-20.0247,-48.9406,Hotel Recanto Dos Ipês
330,Acarau,BR,77.99,overcast clouds,-2.8856,-40.12,castelo pizzaria
331,Segou,ML,83.55,clear sky,13.4317,-6.2157,Comme chez soi
334,Bairiki,KI,80.6,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
335,Lethem,GY,73.4,few clouds,3.3803,-59.7968,Savannah Inn
338,Libertador General San Martin,AR,72.0,overcast clouds,-23.8064,-64.7876,Posada del Sol
340,Garissa,KE,85.33,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
342,Graaff-Reinet,ZA,73.0,clear sky,-32.2522,24.5308,Rietjiesbos B&B
348,Cairns,AU,81.0,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
351,Akyab,MM,79.59,broken clouds,20.15,92.9,Hotel Memory
353,Rocha,UY,60.73,clear sky,-34.4833,-54.3333,Beleza Pura B&B
354,Talisayan,PH,84.2,moderate rain,6.9872,121.9272,Mar y Monte Resort
356,Monrovia,LR,75.2,light rain,6.3005,-10.7969,Sunset Inn
362,Lorengau,PG,82.87,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
363,Dali,CN,61.59,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
364,Nelson Bay,AU,73.99,clear sky,-32.7167,152.15,Mantra Nelson Bay
365,Port Lincoln,AU,81.3,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
367,Port Moresby,PG,84.2,light rain,-9.4431,147.1797,Lamana Hotel
369,Athens,GR,66.99,few clouds,37.9795,23.7162,Novotel Athenes
374,Itarema,BR,77.81,overcast clouds,-2.9248,-39.9167,Windvillage
375,Neiafu,TO,80.71,broken clouds,-18.65,-173.9833,Mystic Sands
377,Arraias,BR,67.19,moderate rain,-12.9288,-46.9437,Hotel Japão
378,Chiredzi,ZW,84.56,light rain,-21.05,31.6667,The Nesbitt Arms
385,Port Said,EG,69.8,clear sky,31.2565,32.2841,Aracan Hotel
395,Lima,PE,69.8,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
396,Luwuk,ID,84.99,scattered clouds,-0.9516,122.7875,Hotel Santika Luwuk
399,Keti Bandar,PK,77.34,clear sky,24.1447,67.4497,Haji laloo memon house
401,Kiunga,PG,77.09,light rain,-6.1219,141.2906,Airport Lodge Kiunga
402,Namibe,AO,77.0,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
403,Atakpame,TG,86.13,clear sky,7.5333,1.1333,Hôtel Luxembourg Atakpame
404,Mahebourg,MU,84.2,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
406,Charlestown,AU,73.99,clear sky,-32.95,151.6667,Panorama Motor Inn Hotel
408,Taltal,CL,62.26,broken clouds,-25.4,-70.4833,Residencial Karime
409,Loa Janan,ID,88.32,overcast clouds,-0.583,117.095,Pondok hijau 2A
411,Kutum,SD,71.91,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
412,Tigre,AR,70.0,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
413,Necochea,AR,64.99,clear sky,-38.5473,-58.7368,dyd -mar Hotel
414,Bukoba,TZ,69.8,moderate rain,-1.3317,31.8122,Elct Bukoba Hotel and Tours
415,Saint-Pierre,RE,86.0,light rain,-21.3393,55.4781,Lindsey Hôtel
416,Teluknaga,ID,89.01,light rain,-6.0989,106.6381,Bale Ocasa hotel
425,Bumbuna,SL,77.81,scattered clouds,9.05,-11.7333,Joel Inn
426,Port Blair,IN,82.27,overcast clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
427,Dingle,PH,73.58,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
428,Ternate,ID,83.19,clear sky,0.8,127.4,Grand Dafam Bela Ternate
429,Mitsamiouli,KM,82.42,moderate rain,-11.3847,43.2844,Foyer ADM
431,Puerto Leguizamo,CO,69.48,broken clouds,-0.1934,-74.7819,la casona de juancho
432,Sechura,PE,71.15,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
435,Flinders,AU,73.0,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
436,Porto Novo,BJ,82.4,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
443,Pemangkat,ID,81.32,moderate rain,1.1667,108.9667,Kost H.Syamsuddin
444,Tamale,GH,86.97,clear sky,9.4008,-0.8393,Tap Hotel
450,Rock Sound,BS,68.05,clear sky,24.9,-76.2,Rock Sound Club
454,Kabanjahe,ID,84.2,light rain,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
455,Phangnga,TH,86.0,few clouds,8.4509,98.5298,Rattanapong Hotel
458,Mananjary,MG,83.93,scattered clouds,-21.2167,48.3333,Vahiny Lodge
460,Salalah,OM,78.8,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL
461,Tefe,BR,69.3,broken clouds,-3.3542,-64.7114,Aracati Hotel
466,Santa Rita,BR,73.4,scattered clouds,-7.1139,-34.9781,Infinity Motel
467,Prabumulih,ID,83.97,broken clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
471,Puliyankudi,IN,80.51,overcast clouds,9.1667,77.4167,Ayyapuram Eswran Koil St
472,Venado Tuerto,AR,64.99,clear sky,-33.7456,-61.9688,La Bianca.
476,Mana,GF,76.8,broken clouds,5.6592,-53.7767,LE SAMANA
477,Aneho,TG,82.4,few clouds,6.2333,1.6,Hotel La Linette
478,Pangkalanbuun,ID,81.05,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
481,Innisfail,AU,77.92,overcast clouds,-17.5333,146.0333,Moondarra Motel
482,Marawi,PH,81.0,heavy intensity rain,7.9986,124.2928,Derogongan Residence
483,Namatanai,PG,82.08,overcast clouds,-3.6667,152.4333,Namatanai Hotel
485,Kankon,IN,89.6,scattered clouds,15.0167,74.0167,Palolem Beach Resort
488,Gopalganj,IN,83.17,overcast clouds,26.4667,84.4333,SPOT ON 62129 Hotel Shabnam SPOT
490,Khani,GE,64.4,clear sky,41.9563,42.9566,კურორტი ზეკარი/Resort Zekari
491,Praia,CV,71.6,broken clouds,14.9215,-23.5087,LT Aparthotel
492,Sungaipenuh,ID,72.64,overcast clouds,-2.0833,101.3833,Hotel Jaya Wisata 2
493,Isangel,VU,80.29,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
495,Ginda,IN,63.27,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
498,Simplicio Mendes,BR,71.11,overcast clouds,-7.8539,-41.9103,Fidalgo
500,Champerico,GT,63.0,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
501,San Felipe,VE,70.3,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
502,Kavieng,PG,83.55,light rain,-2.5744,150.7967,Nusa Island Retreat
503,Beni Mazar,EG,70.86,clear sky,28.4962,30.8029,Link Co-Working space & Development center
504,Beira,MZ,86.0,light rain,-19.8436,34.8389,Beira Terrace Hotel
505,Ondjiva,AO,75.2,scattered clouds,-17.0667,15.7333,SOS Motel
510,Trairi,BR,78.64,overcast clouds,-3.2778,-39.2689,janelas do mar
513,Siva,EG,73.4,clear sky,29.2041,25.5195,Qasr Alzaytuna Inn
515,Lipari,IT,71.01,overcast clouds,38.4674,14.954,Hotel Villa Diana Soc. Clelia Hunziker s.a.s.
518,Grand Gaube,MU,86.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
519,Boyolangu,ID,80.92,light rain,-8.1181,111.8935,Yos ega cv
522,Odweyne,SO,75.54,clear sky,9.4092,45.06399999999999,Eng Hiirey House
525,Kiama,AU,73.99,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
527,Ulladulla,AU,77.0,scattered clouds,-35.35,150.4667,Sandpiper Motel
529,Sao Miguel Do Araguaia,BR,70.61,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
531,Los Banos,PH,82.4,broken clouds,14.1667,121.1833,Sol Y Viento Mountain Hot Springs and Resort
535,Le Port,RE,84.2,light rain,-20.9373,55.2919,Villa Maido
537,Sena Madureira,BR,71.42,overcast clouds,-9.0656,-68.6569,Hotel Central
541,Tamandare,BR,77.63,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
543,Poum,NC,83.7,overcast clouds,-20.2333,164.0167,Gîte kajeon
547,Sao Francisco,BR,70.66,moderate rain,-15.9486,-44.8644,Pousada Peixe Vivo
550,Tagusao,PH,82.13,moderate rain,9.1924,117.8141,Toledo
551,Moengo,SR,72.81,broken clouds,5.6167,-54.4,Masanga
552,Sao Felix Do Xingu,BR,69.93,light rain,-6.6447,-51.995,Rio Xingu Camping
554,Bonthe,SL,80.6,light rain,7.5264,-12.505,Bonthe Holiday Village
